dataset,model,drift_type,severity,probe_layer,trial,trial_std,clean_accuracy,clean_accuracy_std,drift_accuracy,drift_accuracy_std,accuracy_drop,accuracy_drop_std,ks_threshold,ks_threshold_std,mmd_threshold,mmd_threshold_std,layer1_ks_mean,layer1_ks_mean_std,layer1_ks_max,layer1_ks_max_std,layer1_mmd,layer1_mmd_std,layer2_ks_mean,layer2_ks_mean_std,layer2_ks_max,layer2_ks_max_std,layer2_mmd,layer2_mmd_std,layer3_ks_mean,layer3_ks_mean_std,layer3_ks_max,layer3_ks_max_std,layer3_mmd,layer3_mmd_std,layer4_ks_mean,layer4_ks_mean_std,layer4_ks_max,layer4_ks_max_std,layer4_mmd,layer4_mmd_std,ks_mean,ks_mean_std,ks_max,ks_max_std,pvalue_mean,pvalue_mean_std,mmd,mmd_std,features.3_ks_mean,features.3_ks_mean_std,features.3_ks_max,features.3_ks_max_std,features.3_mmd,features.3_mmd_std,features.4_ks_mean,features.4_ks_mean_std,features.4_ks_max,features.4_ks_max_std,features.4_mmd,features.4_mmd_std,features.6_ks_mean,features.6_ks_mean_std,features.6_ks_max,features.6_ks_max_std,features.6_mmd,features.6_mmd_std,features.8_ks_mean,features.8_ks_mean_std,features.8_ks_max,features.8_ks_max_std,features.8_mmd,features.8_mmd_std
fake,ResNet-50,gaussian_noise,low,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.4609375,0.0,1.0,0.0,0.7444453835487366,0.0,0.48518880208333337,0.0,0.9583333333333334,0.0,0.8164350986480713,0.0,0.51220703125,0.0,0.9583333333333334,0.0,0.8124646544456482,0.0,0.40950520833333337,0.0,0.875,0.0,0.6474297046661377,0.0,0.40950520833333337,0.0,0.875,0.0,0.2663956042872647,0.0,0.6474297046661377,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,ResNet-50,gaussian_noise,medium,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.7833658854166667,0.0,1.0,0.0,0.9938780069351196,0.0,0.7801106770833334,0.0,1.0,0.0,1.0158461332321167,0.0,0.8274739583333334,0.0,1.0,0.0,1.024799108505249,0.0,0.8020833333333335,0.0,1.0,0.0,1.0224308967590332,0.0,0.8020833333333335,0.0,1.0,0.0,0.08154259963384067,0.0,1.0224308967590332,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,ResNet-50,gaussian_noise,high,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.8748372395833334,0.0,1.0,0.0,0.9319525361061096,0.0,0.8536783854166667,0.0,1.0,0.0,0.9444917440414429,0.0,0.9007161458333334,0.0,1.0,0.0,0.9447271227836609,0.0,0.8976236979166666,0.0,1.0,0.0,0.949425220489502,0.0,0.8976236979166666,0.0,1.0,0.0,0.048879597069380526,0.0,0.949425220489502,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,ResNet-50,motion_blur,low,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.69287109375,0.0,1.0,0.0,1.0520836114883423,0.0,0.6775716145833333,0.0,1.0,0.0,1.1086580753326416,0.0,0.7097981770833333,0.0,1.0,0.0,1.1325784921646118,0.0,0.6311848958333334,0.0,1.0,0.0,1.0269944667816162,0.0,0.6311848958333334,0.0,1.0,0.0,0.13253550406723413,0.0,1.0269944667816162,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,ResNet-50,motion_blur,medium,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.8759765625,0.0,1.0,0.0,1.0035933256149292,0.0,0.8059895833333333,0.0,1.0,0.0,1.0254727602005005,0.0,0.8424479166666667,0.0,1.0,0.0,1.0454082489013672,0.0,0.8253580729166666,0.0,1.0,0.0,1.040759801864624,0.0,0.8253580729166666,0.0,1.0,0.0,0.062282963043477496,0.0,1.040759801864624,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,ResNet-50,motion_blur,high,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.9186197916666666,0.0,1.0,0.0,0.9653722643852234,0.0,0.849609375,0.0,1.0,0.0,0.9808704853057861,0.0,0.8849283854166666,0.0,1.0,0.0,0.992283284664154,0.0,0.8831380208333334,0.0,1.0,0.0,0.9927772879600525,0.0,0.8831380208333334,0.0,1.0,0.0,0.05208088665292809,0.0,0.9927772879600525,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,ResNet-50,brightness_shift,low,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.8502604166666666,0.0,1.0,0.0,0.9544432759284973,0.0,0.7537434895833333,0.0,1.0,0.0,1.051316261291504,0.0,0.73291015625,0.0,1.0,0.0,1.1737818717956543,0.0,0.6956380208333333,0.0,1.0,0.0,1.0915777683258057,0.0,0.6956380208333333,0.0,1.0,0.0,0.1159997182325424,0.0,1.0915777683258057,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,ResNet-50,brightness_shift,medium,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.91552734375,0.0,1.0,0.0,0.9187925457954407,0.0,0.81005859375,0.0,1.0,0.0,0.926658570766449,0.0,0.5621744791666667,0.0,1.0,0.0,0.8522846698760986,0.0,0.42919921875,0.0,1.0,0.0,0.6444733738899231,0.0,0.42919921875,0.0,1.0,0.0,0.2480546238815589,0.0,0.6444733738899231,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,ResNet-50,brightness_shift,high,layer4,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.2323079427083333,0.0,0.23043666705489158,0.0,0.9541015625,0.0,1.0,0.0,0.9331779479980469,0.0,0.8933919270833334,0.0,1.0,0.0,0.9719199538230896,0.0,0.8756510416666666,0.0,1.0,0.0,1.002074122428894,0.0,0.8430989583333334,0.0,1.0,0.0,0.9887381196022034,0.0,0.8430989583333334,0.0,1.0,0.0,0.0770217647602442,0.0,0.9887381196022034,0.0,,,,,,,,,,,,,,,,,,,,,,,,
fake,EfficientNet-B0,gaussian_noise,low,features.8,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.237451171875,0.0,0.20153405368328095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1142578125,0.0,0.25,0.0,0.9828527707784882,0.0,0.021696945652365685,0.0,0.14791666666666664,0.0,0.3333333333333333,0.0,0.05894264578819275,0.0,0.11927083333333335,0.0,0.25,0.0,0.03348911926150322,0.0,0.11371527777777778,0.0,0.20833333333333334,0.0,0.023284412920475006,0.0,0.1142578125,0.0,0.25,0.0,0.021696945652365685,0.0
