dataset,model,trial,drift_type,severity,clean_accuracy,drift_accuracy,accuracy_drop,probe_layer,ks_threshold,mmd_threshold,layer1_ks_mean,layer1_ks_max,layer1_mmd,layer2_ks_mean,layer2_ks_max,layer2_mmd,layer3_ks_mean,layer3_ks_max,layer3_mmd,layer4_ks_mean,layer4_ks_max,layer4_mmd,ks_mean,ks_max,pvalue_mean,mmd,ks_alert,mmd_alert,features.3_ks_mean,features.3_ks_max,features.3_mmd,features.4_ks_mean,features.4_ks_max,features.4_mmd,features.6_ks_mean,features.6_ks_max,features.6_mmd,features.8_ks_mean,features.8_ks_max,features.8_mmd
cifar10,ResNet-50,0,gaussian_noise,low,0.7933333333333333,0.7,0.09333333333333338,layer4,0.19901046752929688,0.1640588767826557,0.6196875,1.0,0.8302419781684875,0.5062630208333333,1.0,0.8326820135116577,0.3364518229166667,1.0,0.6959309577941895,0.2480078125,1.0,0.49160781502723694,0.2480078125,1.0,0.14264730890262398,0.49160781502723694,True,True,,,,,,,,,,,,
cifar10,ResNet-50,0,gaussian_noise,medium,0.7933333333333333,0.47333333333333333,0.32,layer4,0.19901046752929688,0.1640588767826557,0.7222395833333333,1.0,0.8737771511077881,0.5643098958333332,1.0,0.8536133766174316,0.3876822916666667,1.0,0.7918741106987,0.301884765625,1.0,0.5344149470329285,0.301884765625,1.0,0.08733706972306149,0.5344149470329285,True,True,,,,,,,,,,,,
cifar10,ResNet-50,0,gaussian_noise,high,0.7933333333333333,0.2733333333333333,0.52,layer4,0.19901046752929688,0.1640588767826557,0.7756770833333333,1.0,0.8933616280555725,0.6297395833333334,1.0,0.8667183518409729,0.46252604166666667,1.0,0.8469201922416687,0.3720247395833334,1.0,0.5977745056152344,0.3720247395833334,1.0,0.05151865025824577,0.5977745056152344,True,True,,,,,,,,,,,,
cifar10,ResNet-50,0,motion_blur,low,0.7933333333333333,0.78,0.013333333333333308,layer4,0.19901046752929688,0.1640588767826557,0.15856770833333333,0.7466666666666667,0.149184912443161,0.18182291666666667,1.0,0.18668122589588165,0.18677083333333333,0.8866666666666667,0.2777944803237915,0.12496093750000001,0.7133333333333334,0.13776065409183502,0.12496093750000001,0.7133333333333334,0.3770869653662864,0.13776065409183502,False,False,,,,,,,,,,,,
cifar10,ResNet-50,0,motion_blur,medium,0.7933333333333333,0.7266666666666667,0.06666666666666665,layer4,0.19901046752929688,0.1640588767826557,0.19643229166666665,0.8333333333333334,0.2045554667711258,0.21154947916666667,0.9733333333333334,0.22350510954856873,0.20899739583333332,0.92,0.3196217715740204,0.153125,0.8466666666666667,0.18448179960250854,0.153125,0.8466666666666667,0.2569410853853182,0.18448179960250854,False,True,,,,,,,,,,,,
cifar10,ResNet-50,0,motion_blur,high,0.7933333333333333,0.6866666666666666,0.10666666666666669,layer4,0.19901046752929688,0.1640588767826557,0.21966145833333334,0.8933333333333333,0.24934802949428558,0.21975260416666667,0.78,0.24030135571956635,0.21129557291666667,0.9133333333333333,0.3107377886772156,0.16477213541666666,0.8866666666666667,0.1995084583759308,0.16477213541666666,0.8866666666666667,0.22212698643639972,0.1995084583759308,False,True,,,,,,,,,,,,
cifar10,ResNet-50,0,brightness_shift,low,0.7933333333333333,0.7933333333333333,0.0,layer4,0.19901046752929688,0.1640588767826557,0.17328125,0.52,0.17555290460586548,0.1158984375,0.5466666666666666,0.15327326953411102,0.07570312500000001,0.44,0.09982754290103912,0.06916341145833332,0.23333333333333334,0.043711401522159576,0.06916341145833332,0.23333333333333334,0.8122792752170013,0.043711401522159576,False,False,,,,,,,,,,,,
cifar10,ResNet-50,0,brightness_shift,medium,0.7933333333333333,0.7466666666666667,0.046666666666666634,layer4,0.19901046752929688,0.1640588767826557,0.31372395833333333,0.7066666666666667,0.36415567994117737,0.1868359375,0.7933333333333333,0.2660630941390991,0.10977213541666667,0.7866666666666666,0.18351906538009644,0.10394205729166667,0.47333333333333333,0.08975347876548767,0.10394205729166667,0.47333333333333333,0.49834252331138745,0.08975347876548767,False,False,,,,,,,,,,,,
cifar10,ResNet-50,0,brightness_shift,high,0.7933333333333333,0.6866666666666666,0.10666666666666669,layer4,0.19901046752929688,0.1640588767826557,0.5138541666666667,0.9533333333333334,0.629692554473877,0.2957161458333334,0.9266666666666666,0.4341263771057129,0.16050130208333335,0.96,0.29951488971710205,0.163349609375,0.8,0.17581786215305328,0.163349609375,0.8,0.22418097350341246,0.17581786215305328,False,True,,,,,,,,,,,,
cifar10,EfficientNet-B0,0,gaussian_noise,low,0.8666666666666667,0.66,0.20666666666666667,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.22585937500000003,1.0,0.14057529801132734,0.3720579743385315,True,True,0.5443333333333333,1.0,0.8259189128875732,0.4793333333333333,1.0,0.7100294232368469,0.31225694444444446,0.9666666666666667,0.5121444463729858,0.22585937500000003,1.0,0.3720579743385315
cifar10,EfficientNet-B0,0,gaussian_noise,medium,0.8666666666666667,0.5733333333333334,0.29333333333333333,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.26278125,0.9933333333333333,0.0676976398328994,0.399112343788147,True,True,0.6503333333333334,1.0,0.857507586479187,0.5563333333333332,1.0,0.758293628692627,0.33111111111111113,0.9733333333333334,0.5255781412124634,0.26278125,0.9933333333333333,0.399112343788147
cifar10,EfficientNet-B0,0,gaussian_noise,high,0.8666666666666667,0.2866666666666667,0.5800000000000001,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.44541666666666674,1.0,0.010041181410631149,0.5208765268325806,True,True,0.6541666666666668,1.0,0.8741317391395569,0.5588333333333333,1.0,0.7914966940879822,0.4070833333333333,0.98,0.601711094379425,0.44541666666666674,1.0,0.5208765268325806
cifar10,EfficientNet-B0,0,motion_blur,low,0.8666666666666667,0.8733333333333333,-0.006666666666666599,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.10353124999999999,0.2866666666666667,0.4798114954528252,0.07530224323272705,False,False,0.18050000000000002,0.3933333333333333,0.19581691920757294,0.23741666666666666,0.64,0.3126453161239624,0.1451736111111111,0.4266666666666667,0.16544197499752045,0.10353124999999999,0.2866666666666667,0.07530224323272705
cifar10,EfficientNet-B0,0,motion_blur,medium,0.8666666666666667,0.84,0.026666666666666727,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.12725520833333331,0.3933333333333333,0.3270094678112211,0.11302419006824493,False,False,0.19883333333333333,0.47333333333333333,0.22955866158008575,0.2579166666666667,0.6933333333333334,0.3393981456756592,0.1845138888888889,0.4533333333333333,0.22491778433322906,0.12725520833333331,0.3933333333333333,0.11302419006824493
cifar10,EfficientNet-B0,0,motion_blur,high,0.8666666666666667,0.8066666666666666,0.06000000000000005,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.14560416666666667,0.4066666666666667,0.24247177069875653,0.14125597476959229,False,False,0.20316666666666666,0.5133333333333333,0.25905564427375793,0.25558333333333333,0.7933333333333333,0.3413366973400116,0.19576388888888888,0.4866666666666667,0.2522774934768677,0.14560416666666667,0.4066666666666667,0.14125597476959229
cifar10,EfficientNet-B0,0,brightness_shift,low,0.8666666666666667,0.8666666666666667,0.0,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.054598958333333336,0.13333333333333333,0.9390027181083667,0.026726430281996727,False,False,0.12683333333333333,0.23333333333333334,0.12932035326957703,0.10775000000000001,0.2733333333333333,0.10460735112428665,0.06506944444444444,0.14666666666666667,0.04438259080052376,0.054598958333333336,0.13333333333333333,0.026726430281996727
cifar10,EfficientNet-B0,0,brightness_shift,medium,0.8666666666666667,0.8533333333333334,0.013333333333333308,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.07875,0.22,0.7184025876817076,0.05746595188975334,False,False,0.2015,0.41333333333333333,0.2493485063314438,0.17683333333333334,0.44,0.2162187397480011,0.09829861111111111,0.21333333333333335,0.09225156158208847,0.07875,0.22,0.05746595188975334
cifar10,EfficientNet-B0,0,brightness_shift,high,0.8666666666666667,0.8,0.06666666666666665,features.8,0.196268310546875,0.15935356989502908,,,,,,,,,,,,,0.12201041666666668,0.37333333333333335,0.3600268685770819,0.11294347792863846,False,False,0.2916666666666667,0.62,0.41904959082603455,0.27541666666666664,0.7,0.38605326414108276,0.14434027777777778,0.3933333333333333,0.17280706763267517,0.12201041666666668,0.37333333333333335,0.11294347792863846
cifar10,ResNet-50,1,gaussian_noise,low,0.78,0.7,0.08000000000000007,layer4,0.189215087890625,0.14913556054234506,0.6118229166666667,1.0,0.8213155269622803,0.4958203125,1.0,0.8236023783683777,0.33101562500000004,1.0,0.6821718215942383,0.25017903645833334,1.0,0.483556866645813,0.25017903645833334,1.0,0.13645717016101133,0.483556866645813,True,True,,,,,,,,,,,,
cifar10,ResNet-50,1,gaussian_noise,medium,0.78,0.5333333333333333,0.2466666666666667,layer4,0.189215087890625,0.14913556054234506,0.7130208333333333,1.0,0.8720011115074158,0.5594010416666667,1.0,0.8534453511238098,0.37968750000000007,1.0,0.7727934122085571,0.29197591145833335,1.0,0.513735830783844,0.29197591145833335,1.0,0.09301780603013708,0.513735830783844,True,True,,,,,,,,,,,,
cifar10,ResNet-50,1,gaussian_noise,high,0.78,0.29333333333333333,0.4866666666666667,layer4,0.189215087890625,0.14913556054234506,0.7677343750000001,1.0,0.9031407237052917,0.6268098958333332,1.0,0.8716520667076111,0.4530794270833333,1.0,0.8265113830566406,0.3640592447916667,1.0,0.5884183049201965,0.3640592447916667,1.0,0.05825717543301793,0.5884183049201965,True,True,,,,,,,,,,,,
cifar10,ResNet-50,1,motion_blur,low,0.78,0.7933333333333333,-0.013333333333333308,layer4,0.189215087890625,0.14913556054234506,0.15919270833333332,0.7666666666666667,0.14473319053649902,0.17821614583333334,0.9666666666666667,0.18077126145362854,0.1801171875,0.8333333333333334,0.2622767984867096,0.12386067708333334,0.7666666666666667,0.13472537696361542,0.12386067708333334,0.7666666666666667,0.3756379329908157,0.13472537696361542,False,False,,,,,,,,,,,,
cifar10,ResNet-50,1,motion_blur,medium,0.78,0.7533333333333333,0.026666666666666727,layer4,0.189215087890625,0.14913556054234506,0.19822916666666668,0.84,0.1990424543619156,0.20828125000000003,0.9133333333333333,0.2183580994606018,0.20221354166666666,0.8933333333333333,0.3063467741012573,0.15148763020833333,0.7933333333333333,0.18018735945224762,0.15148763020833333,0.7933333333333333,0.2624855529962211,0.18018735945224762,False,True,,,,,,,,,,,,
cifar10,ResNet-50,1,motion_blur,high,0.78,0.6933333333333334,0.08666666666666667,layer4,0.189215087890625,0.14913556054234506,0.22005208333333337,0.9066666666666666,0.24114668369293213,0.21817708333333335,0.7733333333333333,0.2333189994096756,0.2047981770833333,0.88,0.29765117168426514,0.16302083333333334,0.8066666666666666,0.19279320538043976,0.16302083333333334,0.8066666666666666,0.22303702165178,0.19279320538043976,False,True,,,,,,,,,,,,
