dataset,model,trial,reference_group,target_group,target_split,alignment,clean_accuracy,drift_accuracy,accuracy_drop,probe_layer,ks_threshold,mmd_threshold,group_size,layer1_ks_mean,layer1_ks_max,layer1_mmd,layer2_ks_mean,layer2_ks_max,layer2_mmd,layer3_ks_mean,layer3_ks_max,layer3_mmd,layer4_ks_mean,layer4_ks_max,layer4_mmd,ks_mean,ks_max,pvalue_mean,mmd,ks_alert,mmd_alert,features.3_ks_mean,features.3_ks_max,features.3_mmd,features.4_ks_mean,features.4_ks_max,features.4_mmd,features.6_ks_mean,features.6_ks_max,features.6_mmd,features.8_ks_mean,features.8_ks_max,features.8_mmd
waterbirds,ResNet-50,0,val_matched,val_matched,val,matched,0.9466666666666667,0.9933333333333333,-0.046666666666666634,layer4,0.18712158203125,0.15786441043019295,150,0.08588541666666666,0.16,0.0696481466293335,0.08625,0.14666666666666667,0.06132645159959793,0.08234375,0.17333333333333334,0.05947117134928703,0.08364583333333334,0.19333333333333333,0.0653485581278801,0.08364583333333334,0.19333333333333333,0.675831054976439,0.0653485581278801,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_mismatched,val,mismatched,0.9466666666666667,0.4066666666666667,0.54,layer4,0.18712158203125,0.15786441043019295,150,0.23000000000000004,0.48,0.29132431745529175,0.20401041666666667,0.43333333333333335,0.24824120104312897,0.17338541666666668,0.43333333333333335,0.2022191882133484,0.13067708333333333,0.4533333333333333,0.15696893632411957,0.13067708333333333,0.4533333333333333,0.35392048950717236,0.15696893632411957,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_matched,test,matched,0.9466666666666667,0.9666666666666667,-0.020000000000000018,layer4,0.18712158203125,0.15786441043019295,150,0.10098958333333334,0.18,0.07720713317394257,0.09213541666666666,0.17333333333333334,0.06880608946084976,0.1015625,0.20666666666666667,0.07447289675474167,0.09286458333333333,0.18,0.06866473704576492,0.09286458333333333,0.18,0.5664238628864185,0.06866473704576492,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_mismatched,test,mismatched,0.9466666666666667,0.3933333333333333,0.5533333333333333,layer4,0.18712158203125,0.15786441043019295,150,0.2632291666666666,0.5133333333333333,0.3074534237384796,0.22635416666666663,0.4533333333333333,0.26780077815055847,0.18046875,0.46,0.2210649847984314,0.12958333333333336,0.4266666666666667,0.14171306788921356,0.12958333333333336,0.4266666666666667,0.33100527364562365,0.14171306788921356,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_landbird_land,val,matched,0.9466666666666667,0.9866666666666667,-0.040000000000000036,layer4,0.18712158203125,0.15786441043019295,150,0.10395833333333332,0.19333333333333333,0.10053318738937378,0.11,0.22,0.09333327412605286,0.10182291666666668,0.20666666666666667,0.10077952593564987,0.08802083333333333,0.18666666666666668,0.0844063013792038,0.08802083333333333,0.18666666666666668,0.6368086650192142,0.0844063013792038,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_landbird_water,val,mismatched,0.9466666666666667,0.43333333333333335,0.5133333333333333,layer4,0.18712158203125,0.15786441043019295,150,0.28427083333333336,0.62,0.3622298240661621,0.24651041666666668,0.5666666666666667,0.311165452003479,0.20432291666666666,0.5466666666666666,0.26612067222595215,0.14416666666666667,0.49333333333333335,0.18244117498397827,0.14416666666666667,0.49333333333333335,0.3136489227544993,0.18244117498397827,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_waterbird_land,val,mismatched,0.9466666666666667,0.45112781954887216,0.4955388471177945,layer4,0.18712158203125,0.15786441043019295,133,0.12083020050125312,0.26731829573934834,0.11509152501821518,0.1175814536340852,0.19979949874686717,0.10895129293203354,0.12008889411027568,0.26862155388471176,0.11573398858308792,0.1547861842105263,0.39303258145363407,0.1888638734817505,0.1547861842105263,0.39303258145363407,0.2607993249342273,0.1888638734817505,False,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,val_waterbird_water,val,matched,0.9466666666666667,0.9548872180451128,-0.008220551378446128,layer4,0.18712158203125,0.15786441043019295,133,0.29948778195488723,0.6439598997493734,0.3804434835910797,0.2603700657894737,0.5789974937343358,0.3352256119251251,0.21779096177944862,0.5764411027568922,0.2901947796344757,0.19184797932330827,0.5496240601503759,0.27420634031295776,0.19184797932330827,0.5496240601503759,0.22049003606622647,0.27420634031295776,True,True,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_landbird_land,test,matched,0.9466666666666667,1.0,-0.053333333333333344,layer4,0.18712158203125,0.15786441043019295,150,0.10854166666666666,0.2,0.10501112043857574,0.103125,0.2,0.08565683662891388,0.10703125,0.25333333333333335,0.0825592502951622,0.10703125000000001,0.21333333333333335,0.09656618535518646,0.10703125000000001,0.21333333333333335,0.4451802376600934,0.09656618535518646,False,False,,,,,,,,,,,,
waterbirds,ResNet-50,0,val_matched,test_landbird_water,test,mismatched,0.9466666666666667,0.32666666666666666,0.62,layer4,0.18712158203125,0.15786441043019295,150,0.31447916666666664,0.6666666666666666,0.38315892219543457,0.26265625000000004,0.6133333333333333,0.33563679456710815,0.21067708333333335,0.5933333333333334,0.2847391366958618,0.15286458333333336,0.5666666666666667,0.19659097492694855,0.15286458333333336,0.5666666666666667,0.270860653585069,0.19659097492694855,False,True,,,,,,,,,,,,
